epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.75,0.0010000000474974513,1.7279880046844482,0.0,1.7000504732131958
1,0.5,0.0010000000474974513,1.5900585651397705,0.0,1.708083152770996
2,0.75,0.0010000000474974513,1.4163305759429932,0.0,1.7141311168670654
3,1.0,0.0010000000474974513,1.1999192237854004,0.0,1.7258702516555786
4,1.0,0.0010000000474974513,1.1214354038238525,0.0,1.7475006580352783
5,1.0,0.0010000000474974513,0.947975218296051,0.0,1.7723273038864136
6,1.0,0.0005000000237487257,0.7589128613471985,0.0,1.7876205444335938
7,1.0,0.0005000000237487257,0.9026041626930237,0.0,1.8026317358016968
8,1.0,0.0005000000237487257,0.6237279772758484,0.0,1.8160698413848877
9,1.0,0.0005000000237487257,0.5789997577667236,0.0,1.830260992050171
10,1.0,0.0005000000237487257,0.7096737027168274,0.0,1.8489763736724854
